"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE974309086662";"WEA 6";"In Planung";"";"27.3.2024";"Wind";"4200";"4200";"25899";"Klixbüll";"Klixbüller Energie GmbH & Co. KG Ernst W. Petersen";"ABR922951016995";"27.3.2024"
"SEE947875240271";"Windpark Roggenmöörte WEA 2";"In Planung";"";"27.3.2024";"Wind";"7200";"7200";"27804";"Berne";"Windpark Bäke Buttel GmbH & Co. KG";"ABR926490749529";"27.3.2024"
"SEE922359343907";"Windpark Roggenmöörte WEA 3";"In Planung";"";"27.3.2024";"Wind";"7200";"7200";"27804";"Berne";"Windpark Bäke Buttel GmbH & Co. KG";"ABR926490749529";"27.3.2024"
"SEE940296027971";"Windpark Roggenmöörte WEA 4";"In Planung";"";"27.3.2024";"Wind";"7200";"7200";"27804";"Berne";"Windpark Bäke Buttel GmbH & Co. KG";"ABR926490749529";"27.3.2024"
"SEE939023335649";"Windpark Roggenmöörte WEA 5";"In Planung";"";"27.3.2024";"Wind";"7200";"7200";"27804";"Berne";"Windpark Bäke Buttel GmbH & Co. KG";"ABR926490749529";"27.3.2024"
"SEE929940913686";"Windrad";"In Betrieb";"15.3.2024";"27.3.2024";"Wind";"20";"20";"07955";"Auma-Weidatal";"Schmidt Elektrotechnik e. K. Inhaber Ralph Schmidt";"ABR958416084483";"27.3.2024"
"SEE929461444577";"Jönsthövel Anlage 1";"In Planung";"";"27.3.2024";"Wind";"5500";"5500";"48324";"Sendenhorst";"Sendenhorster Windenergie GmbH und Co KG";"ABR940471252969";"29.3.2024"
"SEE936090981274";"TN1-03";"In Planung";"";"27.3.2024";"Wind";"6000";"6000";"15868";"Lieberose";"eno energy GmbH";"ABR918822616838";"2.4.2024"
"SEE933444258778";"WEA 1";"In Planung";"";"27.3.2024";"Wind";"5560";"5560";"29410";"Salzwedel";"Windpark GmbH & Co. Cheine KG";"ABR950065355860";"27.3.2024"
"SEE940369636093";"WEA 2";"In Planung";"";"27.3.2024";"Wind";"5560";"5560";"29410";"Salzwedel";"Windpark GmbH & Co. Cheine KG";"ABR950065355860";"27.3.2024"
"SEE988376717022";"WEA 3";"In Planung";"";"27.3.2024";"Wind";"5560";"5560";"29410";"Salzwedel";"Windpark GmbH & Co. Cheine KG";"ABR950065355860";"27.3.2024"
"SEE919352479146";"WEA 4";"In Planung";"";"27.3.2024";"Wind";"5560";"5560";"29410";"Salzwedel";"Windpark GmbH & Co. Cheine KG";"ABR950065355860";"27.3.2024"
"SEE900712127906";"WEA 6";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE993864972777";"WEA 5";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE919957823115";"WEA 4";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE925754412735";"WEA 1";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE913698938794";"WEA 2";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE910746711248";"WEA 3";"In Planung";"";"27.3.2024";"Wind";"4800";"4800";"25541";"Brunsbüttel";"Repowering Windpark Ohlenbrook GmbH & Co. KG";"ABR908280679124";"28.3.2024"
"SEE972791142231";"Jönsthövel Anlage 2";"In Planung";"";"27.3.2024";"Wind";"5500";"5500";"59227";"Ahlen";"Sendenhorster Windenergie GmbH und Co KG";"ABR940471252969";"27.3.2024"
"SEE917190460838";"Jönsthövel Anlage 3";"In Planung";"";"27.3.2024";"Wind";"5500";"5500";"48324";"Sendenhorst";"Sendenhorster Windenergie GmbH und Co KG";"ABR940471252969";"2.4.2024"
"SEE991677366363";"Ascheberg-Holthoff WEA 1";"In Planung";"";"27.3.2024";"Wind";"5700";"5700";"59387";"Ascheberg";"Windpark Ascheberg GmbH & Co. KG";"ABR904339297745";"27.3.2024"
"SEE908623705190";"Ascheberg-Holthoff WEA 2";"In Planung";"";"27.3.2024";"Wind";"6800";"6800";"59387";"Ascheberg";"Windpark Ascheberg GmbH & Co. KG";"ABR904339297745";"27.3.2024"
"SEE945465303788";"Ascheberg-Holthoff WEA 3";"In Planung";"";"27.3.2024";"Wind";"6800";"6800";"59387";"Ascheberg";"Windpark Ascheberg GmbH & Co. KG";"ABR904339297745";"27.3.2024"
"SEE911316381892";"Ascheberg-Holthoff WEA 4";"In Planung";"";"27.3.2024";"Wind";"5700";"5700";"59387";"Ascheberg";"Windpark Ascheberg GmbH & Co. KG";"ABR904339297745";"27.3.2024"
"SEE959173613794";"Lautertal Repowering WEA 1";"In Planung";"";"26.3.2024";"Wind";"7200";"7200";"96486";"Lautertal";"Uhl Windkraft Objekt 118 GmbH & Co. KG";"ABR995813927234";"8.10.2024"
"SEE942108450700";"Lautertal Repowering WEA 2";"In Planung";"";"26.3.2024";"Wind";"7200";"7200";"96486";"Lautertal";"Uhl Windkraft Objekt 118 GmbH & Co. KG";"ABR995813927234";"8.10.2024"
"SEE962280166954";"Lautertal Repowering WEA 3";"In Planung";"";"26.3.2024";"Wind";"7200";"7200";"96486";"Lautertal";"Uhl Windkraft Objekt 118 GmbH & Co. KG";"ABR995813927234";"8.10.2024"
"SEE990220074076";"DaBa01";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Badersleben";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE914027206140";"DaBa02";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Badersleben";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"18.6.2024"
"SEE961268431824";"R1";"In Planung";"";"26.3.2024";"Wind";"4200";"4200";"99765";"Uthleben";"Alterric Deutschland GmbH";"ABR927397646904";"1.10.2024"
"SEE943617279899";"Lo-2R";"In Planung";"";"26.3.2024";"Wind";"4000";"4000";"66679";"Losheim";"Windpark Saar GmbH & Co. Repower KG";"ABR958475037017";"17.7.2024"
"SEE969778880705";"WEA 3";"In Planung";"";"26.3.2024";"Wind";"5600";"5600";"46354";"Südlohn";"Windenergie Wellschlatt GmbH & Co. KG";"ABR998796908801";"26.3.2024"
"SEE965611938862";"DaBa03";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE923194783002";"DaBa04";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE908262824344";"DaBa05";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE928400364181";"DaBa06";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE921734338453";"DaBa07";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE971876086033";"DaBa08";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE942701385935";"DaBa09";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE907026199704";"WEA MM-RP 1 (WEA 1)";"In Planung";"";"26.3.2024";"Wind";"6200";"6200";"38170";"Uehrde";"MM Energie GmbH";"ABR935932396108";"26.3.2024"
"SEE904699493788";"DaBa10";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE961955578634";"DaBa11";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE914107132826";"DaBa12";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE972209952865";"DaBa13";"In Planung";"";"26.3.2024";"Wind";"5560";"5560";"38836";"Dardesheim";"Windpark Druiberg GmbH & Co. KG";"ABR932430603028";"26.3.2024"
"SEE969864300445";"WEA 1 / Schmalensee Süd";"In Planung";"";"26.3.2024";"Wind";"4000";"4000";"24638";"Schmalensee";"Denker & Wulf AG";"ABR933776283783";"26.3.2024"
"SEE957832769714";"WEA A";"In Planung";"";"26.3.2024";"Wind";"4200";"4200";"26639";"Wiesmoor";"Carpe Ventos Energie GmbH";"ABR956001725483";"28.3.2024"
"SEE975014664046";"WEA C";"In Planung";"";"26.3.2024";"Wind";"4200";"4200";"26639";"Wiesmoor";"Carpe Ventos Energie GmbH";"ABR956001725483";"28.3.2024"
"SEE986673114957";"152002";"In Betrieb";"22.3.2024";"25.3.2024";"Wind";"5600";"5600";"16928";"Gerdshagen";"Norddeutsche Energie WP Falkenhagen GmbH & Co. KG";"ABR978172246635";"3.7.2024"
"SEE984731451310";"WKA 12_249828";"In Betrieb";"19.3.2024";"25.3.2024";"Wind";"6200";"6200";"23777";"Heringsdorf";"Windenergie Kalkberg GmbH & Co. KG";"ABR984787243563";"23.5.2024"
"SEE939618161189";"WEA 12";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE956862664808";"WEA 7";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE970763589978";"WEA 8";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE948059931275";"WEA 9";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE911408009529";"WEA 11";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE973358569126";"LD II-1";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"06729";"Elsteraue";"3U ENERGY PE GmbH";"ABR902528513812";"25.3.2024"
"SEE943231241449";"LD II-2";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"06729";"Elsteraue";"3U ENERGY PE GmbH";"ABR902528513812";"25.3.2024"
"SEE912988239399";"WEA 10";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Windpark Brakel Modexen GmbH & Co. KG";"ABR957880963751";"18.9.2024"
"SEE915476651895";"LD II-3";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"06729";"Elsteraue";"3U ENERGY PE GmbH";"ABR902528513812";"25.3.2024"
"SEE973963128237";"LD II-4";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"06729";"Elsteraue";"3U ENERGY PE GmbH";"ABR902528513812";"25.3.2024"
"SEE955261697653";"LD II-5";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"06729";"Elsteraue";"3U ENERGY PE GmbH";"ABR902528513812";"25.3.2024"
"SEE990359315729";"Baa3 WEA 22";"In Planung";"";"25.3.2024";"Wind";"5700";"5700";"06406";"Bernburg";"ZOPF Windfang GmbH";"ABR974422971418";"11.4.2024"
"SEE995794948280";"Baa3 WEA 21";"In Planung";"";"25.3.2024";"Wind";"5700";"5700";"06406";"Bernburg";"Windpark Trappenberg GmbH";"ABR947450243222";"25.3.2024"
"SEE925145861234";"Ondrup WEA 1";"In Planung";"";"25.3.2024";"Wind";"6800";"6800";"59348";"Lüdinghausen";"Windpark Ondrup GmbH & Co. KG";"ABR979071554036";"25.3.2024"
"SEE919323670619";"WEA01";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE911481108720";"Ondrup WEA 2";"In Planung";"";"25.3.2024";"Wind";"6800";"6800";"59348";"Lüdinghausen";"Windpark Ondrup GmbH & Co. KG";"ABR979071554036";"25.3.2024"
"SEE906451610693";"Ondrup WEA 3";"In Planung";"";"25.3.2024";"Wind";"6800";"6800";"59348";"Lüdinghausen";"Windpark Ondrup GmbH & Co. KG";"ABR979071554036";"25.3.2024"
"SEE940870112529";"WEA02";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE963575904640";"WEA03";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE968328067368";"WEA04";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE971351085551";"WEA05";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE961190647898";"WEA06";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99638";"Kindelbrück";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE997977462859";"WEA07";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE911214887618";"WPA3 Sto1";"In Planung";"";"25.3.2024";"Wind";"5560";"5560";"74731";"Walldürn";"WINDENERGIE S&H GMBH";"ABR903823248614";"4.4.2024"
"SEE948812296214";"WEA08";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE963937530036";"WEA09";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE939282946433";"WPA3 Sto2a";"In Planung";"";"25.3.2024";"Wind";"5560";"5560";"74731";"Walldürn";"WINDENERGIE S&H GMBH";"ABR903823248614";"4.4.2024"
"SEE920007650674";"WEA10";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE914090739576";"WPA3 Sto3";"In Planung";"";"25.3.2024";"Wind";"5560";"5560";"74731";"Walldürn";"WINDENERGIE S&H GMBH";"ABR903823248614";"4.4.2024"
"SEE909768416286";"WEA11";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"99631";"Günstedt";"meridian Windpark Günstedt GmbH & Co.KG";"ABR987569224750";"25.3.2024"
"SEE919816076089";"WPA3 Sto12a";"In Planung";"";"25.3.2024";"Wind";"5560";"5560";"74731";"Walldürn";"WINDENERGIE S&H GMBH";"ABR903823248614";"4.4.2024"
"SEE978642693549";"WPA3 Sto14";"In Planung";"";"25.3.2024";"Wind";"5560";"5560";"74731";"Walldürn";"WINDENERGIE S&H GMBH";"ABR903823248614";"4.4.2024"
"SEE947268652360";"WEA03";"In Planung";"";"25.3.2024";"Wind";"6000";"6000";"06647";"An der Poststraße";"meridian Windpark Burgholzhausen II GmbH & Co.KG";"ABR962978704222";"25.4.2024"
"SEE970590140458";"WEA04";"In Planung";"";"25.3.2024";"Wind";"6000";"6000";"06647";"An der Poststraße";"meridian Windpark Burgholzhausen II GmbH & Co.KG";"ABR962978704222";"23.4.2024"
"SEE913793734994";"WEA 04";"In Planung";"";"25.3.2024";"Wind";"6200";"6200";"33034";"Brakel";"Windenergie Fölsen/ Gehrden GbR";"ABR951385299063";"26.3.2024"
"SEE942631369180";"WEA 1";"In Planung";"";"25.3.2024";"Wind";"4200";"4200";"06901";"Kemberg";"Windpark GmbH & Co. Dorna KG";"ABR938039397108";"25.3.2024"
"SEE992670186699";"WEA 2";"In Planung";"";"25.3.2024";"Wind";"4200";"4200";"06901";"Kemberg";"Windpark GmbH & Co. Dorna KG";"ABR938039397108";"25.3.2024"
"SEE916711132841";"WEA 3";"In Planung";"";"25.3.2024";"Wind";"4200";"4200";"06901";"Kemberg";"Windpark GmbH & Co. Dorna KG";"ABR938039397108";"25.3.2024"
"SEE948920390040";"WEA 4";"In Planung";"";"25.3.2024";"Wind";"4200";"4200";"06901";"Kemberg";"Windpark GmbH & Co. Dorna KG";"ABR938039397108";"25.3.2024"
"SEE914123634762";"WEA 1";"In Planung";"";"25.3.2024";"Wind";"6000";"6000";"48231";"Warendorf";"Bürgerwind Milter Mark GmbH & Co. KG";"ABR913854480846";"25.3.2024"
"SEE906898020611";"WEA 13";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Windpark Brakel Modexen GmbH & Co. KG";"ABR957880963751";"18.9.2024"
"SEE950375424249";"WEA 03";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Windpark Brakel Modexen GmbH & Co. KG";"ABR957880963751";"18.9.2024"
"SEE914574876407";"WEA 04";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Windpark Brakel Modexen GmbH & Co. KG";"ABR957880963751";"18.9.2024"
"SEE979918902792";"WEA 2";"In Planung";"";"25.3.2024";"Wind";"5600";"5600";"33034";"Brakel";"Bürgerwind Hembsen GmbH & Co. KG";"ABR931981906398";"17.4.2024"
"SEE963244947183";"E138 - Bremen";"In Planung";"";"25.3.2024";"Wind";"4200";"4200";"59469";"Ense";"Haar-Wind GmbH & Co. KG";"ABR926431105117";"26.3.2024"
"SEE954382336014";"WEA 6";"In Planung";"";"24.3.2024";"Wind";"5560";"5560";"48727";"Billerbeck";"Höpingen Wind GmbH & Co. KG";"ABR934913695810";"24.3.2024"
"SEE906750557095";"WEA 7";"In Planung";"";"24.3.2024";"Wind";"5560";"5560";"48727";"Billerbeck";"Höpingen Wind GmbH & Co. KG";"ABR934913695810";"24.3.2024"
"SEE967391220618";"Windfang WEA 6";"In Planung";"";"23.3.2024";"Wind";"4260";"4260";"59929";"Brilon";"Windfang Planungs- Betriebs- und Infrastruktur GmbH & Co. KG";"ABR905023792720";"30.3.2024"
"SEE967436681510";"Windfang WEA 7";"In Planung";"";"23.3.2024";"Wind";"4260";"4260";"59929";"Brilon";"Windfang Planungs- Betriebs- und Infrastruktur GmbH & Co. KG";"ABR905023792720";"30.3.2024"
"SEE907046054533";"WEA 53";"In Betrieb";"22.2.2024";"22.3.2024";"Wind";"6200";"6200";"39517";"Tangerhütte";"Windpark Bellingen";"ABR955952868805";"25.3.2024"
"SEE920061948533";"Hohndorf EWT";"In Planung";"";"22.3.2024";"Wind";"1000";"1000";"09394";"Hohndorf";"Kohler Erneuerbare Energien";"ABR977669510167";"22.3.2024"
"SEE969917872820";"Spitze Warte_WEA04";"In Planung";"";"22.3.2024";"Wind";"4260";"4260";"59602";"Rüthen";"Windpark Spitze Warte GmbH & Co. KG";"ABR965485684018";"22.3.2024"
"SEE962667554367";"WP Kuppendorf WEA 1";"In Planung";"";"22.3.2024";"Wind";"6000";"6000";"27245";"Kirchdorf";"Westwind Projektierungs GmbH & Co. KG";"ABR923828951203";"22.3.2024"
"SEE997225528764";"Mellrich";"In Planung";"";"22.3.2024";"Wind";"7000";"7000";"59609";"Anröchte";"Energieplan Ost West GmbH & Co. KG";"ABR971664063826";"22.3.2024"
"SEE988001713146";"WEA Röhrengrund I";"In Planung";"";"22.3.2024";"Wind";"5700";"5700";"33181";"Bad Wünnenberg";"Energieplan Ost West GmbH & Co. KG";"ABR971664063826";"22.3.2024"
"SEE949657043926";"WEA Röhrengrund II";"In Planung";"";"22.3.2024";"Wind";"7000";"7000";"33181";"Bad Wünnenberg";"Energieplan Ost West GmbH & Co. KG";"ABR971664063826";"22.3.2024"
"SEE912318515476";"Bürgerwind Dringenberg WEA 1";"In Planung";"";"22.3.2024";"Wind";"5500";"5500";"33014";"Bad Driburg";"Bürgerwind Dringenberg GbR";"ABR977351319603";"25.3.2024"
"SEE944044023239";"Windpark Quelkhorn II_WEA 2";"In Betrieb";"15.3.2024";"21.3.2024";"Wind";"4000";"4000";"28870";"Ottersberg";"Windpark Quelkhorn II GmbH & Co. KG";"ABR976282070546";"8.7.2024"
"SEE964386953339";"ABO Wind WP Berglicht Repowering WEA 2";"In Betrieb";"8.3.2024";"21.3.2024";"Wind";"6600";"6600";"54426";"Berglicht";"CEE Windpark Berglicht GmbH & Co. KG";"ABR954232911026";"27.3.2024"
"SEE986608891540";"VOC 1";"In Betrieb";"6.3.2024";"21.3.2024";"Wind";"5700";"5700";"36304";"Alsfeld";"VSB Windpark Vockenrod GmbH & Co. KG";"ABR959885214265";"19.7.2024"
"SEE981927326872";"VOC 4";"In Betrieb";"6.3.2024";"21.3.2024";"Wind";"5700";"5700";"36304";"Alsfeld";"VSB Windpark Vockenrod GmbH & Co. KG";"ABR959885214265";"2.8.2024"
"SEE910617212980";"WEA1 Hagen - Kuhweide";"In Planung";"";"21.3.2024";"Wind";"5560";"5560";"58091";"Hagen";"SL Windpark Hagen Kuhweide GmbH & Co. KG";"ABR917335781712";"28.3.2024"
"SEE902085954912";"WEA2 Hagen - Kuhweide";"In Planung";"";"21.3.2024";"Wind";"5560";"5560";"58091";"Hagen";"SL Windpark Hagen Kuhweide GmbH & Co. KG";"ABR917335781712";"28.3.2024"
"SEE929346892967";"Brunow Klüß, WEA 4";"In Planung";"";"21.3.2024";"Wind";"4200";"4200";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"21.3.2024"
"SEE935065561565";"Brunow Klüß, WEA 5";"In Planung";"";"21.3.2024";"Wind";"4200";"4200";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"21.3.2024"
"SEE958113743423";"Brunow Klüß, WEA 6";"In Planung";"";"21.3.2024";"Wind";"4200";"4200";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"21.3.2024"
"SEE961082188577";"Brunow Klüß, WEA 7";"In Planung";"";"21.3.2024";"Wind";"3600";"3600";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"21.3.2024"
"SEE936865389793";"Spitze Warte_WEA03";"In Planung";"";"21.3.2024";"Wind";"4260";"4260";"59602";"Rüthen";"Windpark Spitze Warte GmbH & Co. KG";"ABR965485684018";"22.3.2024"
"SEE951401903745";"92516";"In Betrieb";"11.3.2024";"20.3.2024";"Wind";"4500";"4500";"32351";"Stemwede";"enercity Erneuerbare Tiefenriede GmbH & Co. KG";"ABR954297833578";"25.10.2024"
"SEE939397955450";"WP Lesse";"In Planung";"";"20.3.2024";"Wind";"4200";"4200";"38229";"Salzgitter";"WindStrom Erneuerbare Energien GmbH & Co. KG";"ABR978638749915";"20.3.2024"
"SEE978331049190";"SW-OSC1";"In Planung";"";"20.3.2024";"Wind";"4200";"4200";"04758";"Oschatz";"Sabowindanlage Schmorkau GmbH & Co. KG";"ABR959367428951";"12.7.2024"
"SEE924087477947";"Worms R WEA 01";"In Planung";"";"20.3.2024";"Wind";"5500";"5500";"67550";"Worms";"JUWI GmbH";"ABR941190092140";"20.3.2024"
"SEE925251512488";"Gestorf Repowering WEA 1";"In Planung";"";"20.3.2024";"Wind";"5560";"5560";"31832";"Springe";"Windpark Gestorf Repowering GmbH & Co. KG";"ABR962246938458";"20.3.2024"
"SEE939790224382";"Worms R WEA 02";"In Planung";"";"20.3.2024";"Wind";"5500";"5500";"67550";"Worms";"JUWI GmbH";"ABR941190092140";"20.3.2024"
"SEE919803817831";"WEA 2";"In Planung";"";"20.3.2024";"Wind";"6800";"6800";"33039";"Nieheim";"Bürgerwind Nieheim-Oeynhausen GbR";"ABR948214255307";"25.3.2024"
"SEE980813108295";"WEA 3";"In Planung";"";"20.3.2024";"Wind";"6800";"6800";"33039";"Nieheim";"Bürgerwind Nieheim-Oeynhausen GbR";"ABR948214255307";"25.3.2024"
"SEE904130414228";"WEA 5";"In Planung";"";"20.3.2024";"Wind";"6800";"6800";"33039";"Nieheim";"Bürgerwind Nieheim-Oeynhausen GbR";"ABR948214255307";"25.3.2024"
"SEE939364498027";"WEA 7";"In Planung";"";"20.3.2024";"Wind";"6800";"6800";"33039";"Nieheim";"Bürgerwind Nieheim-Oeynhausen GbR";"ABR948214255307";"25.3.2024"
"SEE943080855163";"WEA 8";"In Planung";"";"20.3.2024";"Wind";"6800";"6800";"33039";"Nieheim";"Bürgerwind Nieheim-Oeynhausen GbR";"ABR948214255307";"25.3.2024"
"SEE926675661011";"Brunow Klüß, WEA 1";"In Planung";"";"20.3.2024";"Wind";"4200";"4200";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"20.3.2024"
"SEE942177763916";"Brunow Klüß, WEA 2";"In Planung";"";"20.3.2024";"Wind";"3600";"3600";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"20.3.2024"
"SEE940725842649";"Brunow Klüß, WEA 3";"In Planung";"";"20.3.2024";"Wind";"4200";"4200";"19357";"Klüß";"Energiepark Brunow Klüß GmbH & Co. KG";"ABR948853662924";"20.3.2024"
"SEE970439940867";"Fürstenau M04n";"In Betrieb";"15.3.2024";"19.3.2024";"Wind";"4200";"4200";"37671";"Höxter";"Maka Windkraft Verw. GmbH";"ABR976596638517";"4.6.2024"
"SEE905782447893";"maxcap141";"In Betrieb";"15.3.2024";"19.3.2024";"Wind";"2300";"2300";"49536";"Lienen";"Windpark Lienen GmbH";"ABR996544677474";"19.3.2024"
"SEE999709453975";"WEA Steigleskopf 1";"In Planung";"";"19.3.2024";"Wind";"4200";"4200";"77784";"Oberharmersbach";"Elektrizitätswerk Mittelbaden AG & Co.KG";"ABR988633373664";"23.4.2024"
"SEE920212314491";"Windpark Nillkopf WEA 3";"In Planung";"";"19.3.2024";"Wind";"4200";"4200";"77736";"Zell";"Elektrizitätswerk Mittelbaden AG & Co.KG";"ABR988633373664";"19.3.2024"
"SEE989316099604";"WEA Waltersdorf 06";"In Planung";"";"18.3.2024";"Wind";"6800";"6800";"14913";"Waltersdorf";"UGE Waltersdorf GmbH & Co. KG Umweltgerechte Energie";"ABR981296632710";"4.10.2024"
"SEE916866607027";"Windrad Koppel";"In Betrieb";"15.1.2024";"17.3.2024";"Wind";"1";"1";"04758";"Cavertitz";"(natürliche Person)";"ABR900134283549";"4.6.2024"
